josh,allen,quarterback,3918298
amonra,stbrown,wide receiver,4374302
aaron,jones,running back,3042519
dk,metcalf,wide receiver,4047650
george,kittle,tight end,3040151
adam,thielen,wide receiver,16460
kareem,hunt,running back,3059915
chase,claypool,wide receiver,4046692
aj,dillon,running back,4239934
justin,fields,quarterback,4362887
george,pickens,wide receiver,4426354
jake,elliott,place kicker,3050478
mike,davis,running back,3025433
zamir,white,running back,4361777
zach,wilson,quarterback,4361259
justin,jefferson,wide receiver,4262921
nick,chubb,running back,3128720
chris,godwin,wide receiver,3116165
christian,kirk,wide receiver,3895856
jk,dobbins,running back,4241985
juju,smithschuster,wide receiver,3120348
russell,wilson,quarterback,14881
dawson,knox,tight end,3930086
raheem,mostert,running back,2576414
kenneth,gainwell,running back,4371733
darrell,hendersonjr,running back,4039359
jameis,winston,quarterback,2969939
isiah,pacheco,running back,4361529
ryan,succop,place kicker,12731
bailey,zappe,quarterback,4250360
jonathan,taylor,running back,4242335
james,conner,running back,3045147
tee,higgins,wide receiver,4239993
jerry,jeudy,wide receiver,4241463
hunter,renfrow,wide receiver,3135321
matthew,stafford,quarterback,12483
james,robinson,running back,4052042
james,cook,running back,4379399
brian,robinsonjr,running back,4241474
alexander,mattison,running back,4048244
hayden,hurst,tight end,3924365
gerald,everett,tight end,3918639
chris,boswell,place kicker,17372
daniel,jones,quarterback,3917792
deshaun,watson,quarterback,3122840
christian,mccaffrey,running back,3117251
mike,evans,wide receiver,16737
kyler,murray,quarterback,3917315
courtland,sutton,wide receiver,3128429
zach,ertz,tight end,15835
drake,london,wide receiver,4426502
chris,olave,wide receiver,4361370
michael,carter,running back,4240657
jamaal,williams,running back,2980453
brett,maher,place kicker,16486
tua,tagovailoa,quarterback,4241479
robert,tonyan,tight end,2975674
chuba,hubbard,running back,4241416
mecole,hardman,wide receiver,4035004
marquise,goodwin,wide receiver,15839
cooper,kupp,wide receiver,2977187
ceedee,lamb,wide receiver,4241389
dj,moore,wide receiver,3915416
breece,hall,running back,4427366
elijah,mitchell,running back,4241555
dallas,goedert,tight end,3121023
tyler,lockett,wide receiver,2577327
robert,woods,wide receiver,15880
kirk,cousins,quarterback,14880
nyheim,hines,running back,3916430
tyler,bass,place kicker,3917232
khalil,herbert,running back,4035886
evan,engram,tight end,3051876
samaje,perine,running back,3116389
kj,hamler,wide receiver,4240380
austin,ekeler,running back,3068267
keenan,allen,wide receiver,15818
david,montgomery,running back,4035538
justin,herbert,quarterback,4038941
jalen,hurts,quarterback,4040715
dak,prescott,quarterback,2577417
devonta,smith,wide receiver,4241478
allen,lazard,wide receiver,3128390
mike,gesicki,tight end,3116164
evan,mcpherson,place kicker,4360234
joshua,palmer,wide receiver,4242433
jd,mckissic,running back,2572861
rex,burkhead,running back,15971
rachaad,white,running back,4697815
cedrick,wilsonjr,wide receiver,4036335
tyreek,hill,wide receiver,3116406
travis,kelce,tight end,15847
tony,pollard,running back,3916148
travis,etiennejr,running back,4239996
tom,brady,quarterback,2330
joe,burrow,quarterback,3915511
tyler,higbee,tight end,2573401
brandon,mcmanus,place kicker,16339
dontrell,hilliard,running back,3126246
sterling,shepard,wide receiver,2976592
zay,jones,wide receiver,3059722
cooper,rush,quarterback,2972515
corey,davis,wide receiver,3042778
taysom,hill,tight end,2468609
patrick,mahomes,quarterback,3139477
leonard,fournette,running back,3115364
jaylen,waddle,wide receiver,4372016
josh,jacobs,running back,4047365
amari,cooper,wide receiver,2976499
elijah,moore,wide receiver,4372414
rhamondre,stevenson,running back,4569173
hunter,henry,tight end,3046439
melvin,gordoniii,running back,2576434
michael,gallup,wide receiver,4036348
greg,joseph,place kicker,3975763
jerick,mckinnon,running back,16782
jamison,crowder,wide receiver,2576716
boston,scott,running back,3051439
ty,montgomery,wide receiver,2577134
derrick,henry,running back,3043078
saquon,barkley,running back,3929630
michael,pittmanjr,wide receiver,4035687
kyle,pitts,tight end,4360248
rashod,bateman,wide receiver,4360939
allen,robinsonii,wide receiver,16799
derek,carr,quarterback,16757
garrett,wilson,wide receiver,4569618
irv,smithjr,tight end,4040980
isaiah,mckenzie,wide receiver,3128724
jeff,wilsonjr,running back,3122976
eno,benjamin,running back,4242873
harrison,butker,place kicker,3055899
donovan,peoplesjones,wide receiver,4258195
gus,edwards,running back,3051926
jamarr,chase,wide receiver,4362628
dandre,swift,running back,4259545
cam,akers,running back,4240021
brandin,cooks,wide receiver,16731
gabe,davis,wide receiver,4243537
tj,hockenson,tight end,4036133
kadarius,toney,wide receiver,4240600
jakobi,meyers,wide receiver,3916433
dj,chark,wide receiver,3115394
noah,fant,tight end,4036131
van,jefferson,wide receiver,3930066
romeo,doubs,wide receiver,4361432
isaiah,spiller,running back,4426891
mac,jones,quarterback,4241464
younghoe,koo,place kicker,3049899
stefon,diggs,wide receiver,2976212
mark,andrews,tight end,3116365
ezekiel,elliott,running back,3051392
darnell,mooney,wide receiver,4040655
devin,singletary,running back,4040761
aaron,rodgers,quarterback,8439
deandre,hopkins,wide receiver,15795
marquez,valdesscantling,wide receiver,3051738
tyler,boyd,wide receiver,3045144
graham,gano,place kicker,12460
devin,duvernay,wide receiver,4039050
kenneth,walkeriii,running back,4567048
jimmy,garoppolo,quarterback,16760
taylor,bertolet,place kicker,2578718
najee,harris,running back,4241457
joe,mixon,running back,3116385
aj,brown,wide receiver,4047646
mike,williams,wide receiver,3045138
michael,thomas,wide receiver,2976316
pat,freiermuth,tight end,4361411
brandon,aiyuk,wide receiver,4360438
justin,tucker,place kicker,15683
jarvis,landry,wide receiver,16790
devante,parker,wide receiver,2576623
rondale,moore,wide receiver,4372485
alec,pierce,wide receiver,4360078
donta,foreman,running back,3125116
marcus,mariota,quarterback,2576980
geno,smith,quarterback,15864
dalvin,cook,running back,3116593
alvin,kamara,running back,3054850
terry,mclaurin,wide receiver,3121422
diontae,johnson,wide receiver,3932905
miles,sanders,running back,4045163
dalton,schultz,tight end,3117256
damien,harris,running back,3925347
cordarrelle,patterson,running back,15807
trevor,lawrence,quarterback,4360310
daniel,carlson,place kicker,3051909
robbie,anderson,wide receiver,2574808
julio,jones,wide receiver,13982
christian,watson,wide receiver,4248528
jared,goff,quarterback,3046779
jason,myers,place kicker,2473037
davante,adams,wide receiver,16800
deebo,samuel,wide receiver,3126486
clyde,edwardshelaire,running back,4242214
lamar,jackson,quarterback,3916387
darren,waller,tight end,2576925
dameon,pierce,running back,4360238
chase,edmonds,running back,3119195
antonio,gibson,running back,4360294
david,njoku,tight end,3123076
carson,wentz,quarterback,2573079
nick,folk,place kicker,10621
wandale,robinson,wide receiver,4569587
curtis,samuel,wide receiver,3121427
russell,gage,wide receiver,3115378
